Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Tersa Lightshatter,TDM,Tarkir: Dragonstorm,345,normal,rare,1,104752,7a1689bb-f7a4-4b53-8473-75b7ce7b496d,1.25,false,false,near_mint,en,USD
"Sarkhan, Dragon Ascendant",TDM,Tarkir: Dragonstorm,413,foil,mythic,1,103998,a267ced0-34af-483c-ba42-517f3f7e22dc,44.05,false,false,near_mint,ja,USD
Aerith Gainsborough,FIN,Final Fantasy,4,normal,rare,1,105744,e86328b6-ded2-41df-8b6e-4a770e7b171e,2.35,false,false,near_mint,en,USD
Enduring Courage,DSK,Duskmourn: House of Horror,392,foil,mythic,1,98861,82c7fa72-3c5f-49db-95f0-9a1c5d404651,43.81,false,false,near_mint,en,USD
Ancient Adamantoise,FIN,Final Fantasy,172,normal,mythic,1,106545,4c139f30-5ecd-48fd-ae7c-ec2cc98889ff,4.55,false,false,near_mint,en,USD
Absolute Virtue,FIN,Final Fantasy,212,normal,mythic,1,105689,aa192912-c9ee-403f-8a46-a338c9edb4b9,3.65,false,false,near_mint,en,USD
"Cecil, Dark Knight // Cecil, Redeemed Paladin",FIN,Final Fantasy,91,normal,rare,1,103774,026e7167-d665-43d0-a51e-8df2d68cdb5e,1.87,false,false,near_mint,en,USD
"Uthros, Titanic Godcore",EOE,Edge of Eternities,260,normal,mythic,1,106952,11da39d6-cfa6-498d-91b1-11454cc7e5a3,14.93,false,false,near_mint,en,USD
"Stiltzkin, Moogle Merchant",FIN,Final Fantasy,34,normal,rare,1,103775,06a972a4-0c1b-4f12-a5a5-fdea47c4cd35,0.27,false,false,near_mint,en,USD
Sliver Overlord,SLD,Secret Lair Drop,10,foil,mythic,1,46666,6fad8ca2-032d-40ee-b3d6-29ab2b59ba86,52.34,false,false,near_mint,en,USD
Jumbo Cactuar,FIN,Final Fantasy,191,normal,rare,1,103807,db01c222-8795-47e9-a789-e7f749a3ee7d,2.78,false,false,near_mint,en,USD
Thrumming Hivepool,EOE,Edge of Eternities,247,normal,rare,1,107079,85caf659-7b43-462e-a342-34703d46eb57,1.83,false,false,near_mint,en,USD
RMS Titanic,WHO,Doctor Who,980,foil,rare,1,87808,bac6d214-87e8-4b39-ae22-8f0a69c9933c,17.94,false,false,near_mint,en,USD
"Kethis, the Hidden Hand",M20,Core Set 2020,211,normal,mythic,1,45249,fe28de73-76f3-4a9e-a020-dbe5921b9be5,4.03,false,false,near_mint,en,USD
Scourge of Valkas,PF25,MagicFest 2025,14,foil,rare,1,108407,20271e61-5f78-4b8d-a8c2-dc88a900033d,2.2,false,false,near_mint,en,USD
Superior Spider-Man,SPM,Marvel's Spider-Man,155,normal,rare,1,108566,ad4adc3e-ec41-4406-8ff2-59ba8067cf4e,1.44,false,false,near_mint,en,USD
"Rakdos, Patron of Chaos",MKM,Murders at Karlov Manor,369,normal,mythic,1,91077,9ea5f435-144e-4466-be0f-781664cfddb7,3.72,false,false,near_mint,en,USD
Call the Spirit Dragons,TDM,Tarkir: Dragonstorm,174,foil,mythic,1,104888,b1ad91db-5f16-4392-baf1-f8400ec11e0a,3.54,false,false,poor,en,USD
"Uro, Titan of Nature's Wrath",THB,Theros Beyond Death,229,normal,mythic,1,46833,a0b6a71e-56cb-4d25-8f2b-7a4f1b60900d,3.48,false,false,near_mint,en,USD
"Junji, the Midnight Sky",NEO,Kamigawa: Neon Dynasty,102,normal,mythic,1,66410,9033cf27-d9e6-49b8-8ee1-c1f38c9680b9,0.72,false,false,near_mint,en,USD
"Terra, Magical Adept // Esper Terra",FIN,Final Fantasy,245,normal,mythic,1,105766,fbd447aa-588d-4c4d-925e-a7d3bdf6a65c,4.02,false,false,near_mint,en,USD
"Minsc & Boo, Timeless Heroes",MB2,Mystery Booster 2,88,normal,mythic,1,97070,dc01ee03-3817-4fd4-a93d-cd1121e62d95,1.28,false,false,near_mint,en,USD
"Isshin, Two Heavens as One",NEO,Kamigawa: Neon Dynasty,488,normal,rare,1,66840,f26eeb39-77ab-4e60-8b10-1420e755c372,5.39,false,false,near_mint,en,USD
Goldspan Dragon,PLST,The List,KHM-139,normal,mythic,1,69805,4d389813-09a6-4393-bde9-21448f41f5fc,11.44,false,false,near_mint,en,USD
Through the Breach,INR,Innistrad Remastered,404,normal,mythic,1,102486,353d4e98-56ef-4f83-98e6-6e63b35edcdc,0.54,false,false,near_mint,en,USD
Captivating Vampire,INR,Innistrad Remastered,484,normal,rare,1,102764,c3d3a437-c587-4c73-955f-dd80157233f3,3.05,false,false,near_mint,en,USD
Hollowmurk Siege,TDM,Tarkir: Dragonstorm,192,normal,rare,1,104668,5ac0e136-8877-4bfc-a831-2bf7b7b5ad1e,0.42,false,false,near_mint,en,USD
"Daretti, Ingenious Iconoclast",SLD,Secret Lair Drop,1422,normal,mythic,1,86305,d05b3f79-74d0-4756-b7e7-1cd17685bbb7,5.0,false,false,near_mint,en,USD
"Yuriko, the Tiger's Shadow",CMM,Commander Masters,597,etched,rare,1,85037,f058f8e8-aa01-4dc0-a6a5-0490521b83d4,8.61,false,false,near_mint,en,USD
Glacierwood Siege,TDM,Tarkir: Dragonstorm,386,normal,rare,1,104699,6626cc5e-3a9f-4832-a88a-abf6466e2bae,0.45,false,false,near_mint,en,USD
Metamorphosis Fanatic,DSC,Duskmourn: House of Horror Commander,51,normal,rare,1,98969,48acd7ae-d61a-451a-b03a-0c93b548b908,5.34,false,false,near_mint,en,USD
Enduring Tenacity,DSK,Duskmourn: House of Horror,95,normal,rare,1,95615,d5756d4b-3068-412c-8643-880d3459151e,4.77,false,false,near_mint,en,USD
Overlord of the Mistmoors,DSK,Duskmourn: House of Horror,23,normal,mythic,1,98635,6bcafc2e-cef6-412d-8c5d-1658c3337292,8.49,false,false,near_mint,en,USD
Psychic Corrosion,M19,Core Set 2019,68,normal,uncommon,1,1244,285d22fa-1623-463a-83c0-a9aa7c969ce2,4.63,false,false,near_mint,en,USD
Relentless Dead,SLD,Secret Lair Drop,850,foil,mythic,1,103755,9de8a6ee-58b1-46b3-bda2-ed471d1e5572,12.8,false,false,near_mint,en,USD
Lasyd Prowler,TDM,Tarkir: Dragonstorm,348,normal,rare,1,104506,2683ba05-13aa-44ca-8465-d9fa19ae610d,0.2,false,false,near_mint,en,USD
Oildeep Gearhulk,DFT,Aetherdrift,215,normal,mythic,1,103208,a5e2d09e-b9f5-4a0d-96d3-984b5c2c387d,2.01,false,false,near_mint,en,USD
Stormsplitter,BLB,Bloomburrow,154,normal,mythic,1,96040,56f214d3-6b93-40db-a693-55e491c8a283,2.09,false,false,near_mint,en,USD
Bloomvine Regent // Claim Territory,TDM,Tarkir: Dragonstorm,136,foil,rare,1,104244,10e0a9a3-f63a-4f92-a083-9d181580e498,1.2,false,false,near_mint,en,USD
Necroduality,INR,Innistrad Remastered,365,normal,mythic,1,102714,aa88f80f-7411-4f66-bb45-90fb7bd54667,3.93,false,false,near_mint,en,USD
Culling the Weak,MB2,Mystery Booster 2,40,normal,common,1,97136,fadd63e6-a016-4b68-b329-90f013287764,9.03,false,false,near_mint,en,USD
Witch of the Moors,OTC,Outlaws of Thunder Junction Commander,152,normal,rare,1,93674,6914b30b-24f3-48cb-832f-c1f8510e2c9c,0.8,false,false,near_mint,en,USD
Phyrexian Scriptures,PLST,The List,DOM-100,normal,mythic,1,72042,e0ea11e8-56a2-4358-b970-06e68eb2989e,0.99,false,false,near_mint,en,USD
Prosperous Innkeeper,SLD,Secret Lair Drop,878,foil,rare,1,98688,6ab26569-5e7a-410c-86d3-a7ab989f7a31,1.07,false,false,near_mint,en,USD
Overlord of the Floodpits,DSK,Duskmourn: House of Horror,373,normal,mythic,1,98708,5b0d446b-75ac-49d8-911a-73d17419ff05,3.58,false,false,near_mint,en,USD
"Animar, Soul of Elements",PLST,The List,A25-196,normal,mythic,1,47967,3724d842-367e-4bed-8314-fdfa7440f6ec,10.42,false,false,near_mint,en,USD
Bloomvine Regent // Claim Territory,TDM,Tarkir: Dragonstorm,136,normal,rare,1,104244,10e0a9a3-f63a-4f92-a083-9d181580e498,0.93,false,false,near_mint,en,USD
Spring-Leaf Avenger,NEO,Kamigawa: Neon Dynasty,481,foil,rare,1,66658,209115ac-06ef-4d3f-9550-5e9eda081079,0.4,false,false,near_mint,en,USD
Temur Battlecrier,TDM,Tarkir: Dragonstorm,372,normal,rare,1,104319,8141492f-f971-4b7f-afdd-e37537f4d3f5,0.65,false,false,near_mint,en,USD
Lion Sash,NEO,Kamigawa: Neon Dynasty,26,foil,rare,1,66354,3e1766e9-2fa7-4446-a255-7beea1467ece,1.63,false,false,near_mint,en,USD
"Shiko, Paragon of the Way",TDM,Tarkir: Dragonstorm,370,foil,mythic,1,105130,47fd0437-bfb4-4a9e-9109-d172bfb3faab,8.49,false,false,near_mint,en,USD
Dragonback Assault,TDM,Tarkir: Dragonstorm,355,normal,mythic,1,104785,87970548-bbec-4f07-b534-e463c9128469,1.58,false,false,near_mint,en,USD
Eshki Dragonclaw,TDM,Tarkir: Dragonstorm,356,normal,rare,1,104877,aafaa59e-87e1-4953-8c04-8e7a3a509827,0.28,false,false,near_mint,en,USD
Herd Heirloom,TDM,Tarkir: Dragonstorm,347,normal,rare,1,104939,c5e7d936-60f8-40fc-b6a9-be677a97395b,3.11,false,false,near_mint,en,USD
Songcrafter Mage,TDM,Tarkir: Dragonstorm,371,normal,rare,1,104662,584eb844-91e2-47fb-b4e0-f5def65b824a,0.26,false,false,near_mint,en,USD
Rot-Curse Rakshasa,TDM,Tarkir: Dragonstorm,339,foil,mythic,1,104960,cd34da53-1a96-4f06-aaf6-e70581de112d,2.16,false,false,near_mint,en,USD
Nature's Rhythm,TDM,Tarkir: Dragonstorm,150,normal,rare,1,104460,1397d904-c51d-451e-8505-7f3118acc1f6,3.09,false,false,near_mint,en,USD
